Latitude,Longitude,Genus,Date.Planted,Diameter.Breast.Height,Useful.Life.Expectency.Value,Located.in,Year.Planted
-37.81082703,144.9791593,Melaleuca,14/10/1998,78,30,Park,1998
-37.8119724,144.981312,Araucaria,16/10/1998,83,60,Park,1998
-37.81261948,144.9821129,Pinus,16/10/1998,NA,NA,Park,1998
-37.81596948,144.9781862,Pittosporum,10/12/1998,7,10,Park,1998
-37.81208588,144.9795527,Phoenix,16/10/1998,87,60,Park,1998
-37.81451539,144.977743,Ulmus,10/12/1998,136,20,Park,1998
-37.81297214,144.9800807,Washingtonia,1/1/2000,31,60,Park,2000
-37.8140793,144.9819607,Phoenix,13/10/1998,77,60,Park,1998
-37.81239966,144.978628,Platanus,14/10/1998,85,20,Park,1998
-37.81293395,144.9767957,Phoenix,2/1/2000,65,60,Park,2000
-37.81598701,144.9783462,Pittosporum,10/12/1998,8,10,Park,1998
-37.81403778,144.9765637,Eucalyptus,1/1/2000,102,30,Park,2000
-37.81426076,144.9756057,Ulmus,16/10/1998,115,5,Park,1998
-37.81172957,144.9752623,Taxodium,31/08/2018,NA,NA,Park,2018
-37.81281245,144.979471,Platanus,14/10/1998,70,5,Park,1998
-37.81521353,144.9779792,Fraxinus,10/12/1998,32,60,Park,1998
-37.81438962,144.9765703,Ulmus,16/10/1998,142,10,Park,1998
-37.81637863,144.9817382,Elaeocarpus,11/5/2020,NA,NA,Park,2020
-37.8151867,144.9793929,Syzygium,16/10/2014,NA,NA,Park,2014
-37.81575749,144.9781318,Ulmus,10/12/1998,68,5,Street,1998
-37.81451108,144.9756567,Corymbia,1/1/2000,52,60,Park,2000
-37.81603953,144.9785603,Pittosporum,10/12/1998,15,10,Park,1998
-37.81072555,144.9809346,Ulmus,14/10/1998,91,10,Park,1998
-37.81515575,144.9770918,Phoenix,2/1/2000,94,60,Park,2000
-37.81633353,144.9764115,Acer,17/06/2014,NA,NA,Street,2014
-37.81247684,144.9797806,Lagunaria,2/1/2000,45,30,Park,2000
-37.81528444,144.9796585,Acacia,16/10/2014,NA,NA,Park,2014
-37.81524728,144.9811748,Ulmus,,5,80,Park,NA
-37.81152578,144.9789689,Sequoia,14/10/1998,39,60,Park,1998
-37.81607197,144.9771279,Ulmus,10/12/1998,17,60,Park,1998
-37.81484139,144.9786062,Thuja,10/12/1998,0,60,Park,1998
-37.81413708,144.9774074,Ulmus,16/10/1998,119,20,Park,1998
-37.81260216,144.9812078,Platanus,16/10/1998,36,60,Park,1998
-37.81366522,144.9801584,Archontophoenix,5/5/2015,NA,NA,Park,2015
-37.81582979,144.9767429,Ulmus,10/12/1998,37,30,Park,1998
-37.81342803,144.9754202,Quercus,1/1/2000,99,60,Park,2000
-37.81108565,144.9753914,Quercus,27/05/2013,NA,NA,Park,2013
-37.81116169,144.9796927,Pinus,14/10/1998,123,60,Park,1998
-37.81528968,144.9796226,Acacia,2/9/2016,NA,NA,Park,2016
-37.81075002,144.98212,Grevillea,16/10/2012,NA,NA,Park,2012
-37.8153345,144.9794824,Acacia,2/9/2016,NA,NA,Park,2016
-37.81226503,144.9784972,Hesperocyparis,14/10/1998,47,20,Park,1998
-37.81109939,144.9826453,Grevillea,6/6/2013,NA,NA,Park,2013
