word,n
president,66507
win,46081
result,34927
electionday,34340
debate,30587
covid,28678
people,27997
harris,21742
democrats,18278
electionnight,18211
time,17857
cnn,16711
maga,15981
obama,15541
pennsylvania,15535
news,15285
die,14956
china,14614
congratulations,14279
georgia,13550
world,13114
american,12959
michigan,12662
country,12509
hunterbiden,12249
potus,12217
day,12113
nevada,11141
hunter,10809
por,10669
hope,10620
campaign,10371
twitter,10368
elect,10362
media,10356
victory,9973
msnbc,9964
united,9842
florida,9800
white,9506
pour,9330
love,9249
son,9088
kamala,9076
house,8877
foxnews,8864
democrat,8649
arizona,8555
byebyetrump,8475
watch,8336
politics,8208
coronavirus,8197
family,8197
democracy,8193
landslide,8047
wisconsin,7979
vice,7894
live,7705
trumpmeltdown,7690
stop,7626
lead,7467
americadecides,7180
corruption,7178
republicans,7119
black,7104
tosaveamerica,7082
voteblue,7059
supporters,7014
texas,6928
