"created_at","candidate","num_likes","num_retweet","num_tweets"
2020-10-15,"Biden",221672,99684,14948
2020-10-15,"Trump",84019,30586,18131
2020-10-16,"Biden",350454,78098,17947
2020-10-16,"Trump",170903,52030,24954
2020-10-17,"Biden",56809,24600,11461
2020-10-17,"Trump",66860,25748,16957
2020-10-18,"Biden",78821,31022,10371
2020-10-18,"Trump",95277,31861,17473
2020-10-19,"Biden",47358,19633,10779
2020-10-19,"Trump",85019,34046,19942
2020-10-20,"Biden",63884,26006,11853
2020-10-20,"Trump",76804,27655,19050
2020-10-21,"Biden",96640,33243,13441
2020-10-21,"Trump",72099,25286,20496
2020-10-22,"Biden",76619,25012,16145
2020-10-22,"Trump",95530,28990,22079
2020-10-23,"Biden",292489,78842,45869
2020-10-23,"Trump",282359,71570,49350
2020-10-24,"Biden",136800,45330,13105
2020-10-24,"Trump",134478,42501,19004
2020-10-25,"Biden",183659,64425,14872
2020-10-25,"Trump",105419,32127,17401
2020-10-26,"Biden",120429,32098,13713
2020-10-26,"Trump",166870,40578,22284
2020-10-27,"Biden",162439,42923,13615
2020-10-27,"Trump",101015,27680,22977
2020-10-28,"Biden",102143,37367,16429
2020-10-28,"Trump",117849,36600,24625
2020-10-29,"Biden",82892,29651,13719
2020-10-29,"Trump",86173,24868,22049
2020-10-30,"Biden",88852,29143,14623
2020-10-30,"Trump",114510,31786,22909
2020-10-31,"Biden",62428,21187,14604
2020-10-31,"Trump",86432,25395,22438
2020-11-01,"Biden",292285,48289,17550
2020-11-01,"Trump",183933,49628,30571
2020-11-02,"Biden",284452,50601,26067
2020-11-02,"Trump",255961,64675,45420
2020-11-03,"Biden",290398,65366,41495
2020-11-03,"Trump",505899,109793,67267
2020-11-04,"Biden",1086104,179472,99577
2020-11-04,"Trump",1517814,269366,128235
2020-11-05,"Biden",517270,83500,46872
2020-11-05,"Trump",626993,123816,70849
2020-11-06,"Biden",611921,107100,51458
2020-11-06,"Trump",872797,184188,85170
2020-11-07,"Biden",1752955,262254,150700
2020-11-07,"Trump",931197,169776,103711
2020-11-08,"Biden",834031,140849,75564
2020-11-08,"Trump",423192,88498,57423
