"state","sum_trump","trump_total"
"Alabama",849,1441168
"Alaska",311,189892
"Arizona",2865,1661686
"Arkansas",613,760647
"California",31140,6005961
"Colorado",3618,1364607
"Connecticut",1141,715291
"Delaware",245,200603
"District of Columbia",9683,18586
"Florida",16554,5668731
"Georgia",2876,2461854
"Hawaii",706,196864
"Idaho",608,554119
"Illinois",6776,2823926
"Indiana",1556,1729852
"Iowa",880,897672
"Kansas",900,758100
"Kentucky",1484,1326646
"Louisiana",1125,1255776
"Maine",398,359899
"Maryland",2189,976414
"Massachusetts",4719,1167202
"Michigan",3053,2649852
"Minnesota",1821,1484065
"Mississippi",241,756764
"Missouri",2303,1718736
"Montana",173,343602
"Nebraska",394,556846
"Nevada",2388,669890
"New Hampshire",272,365654
"New Jersey",5045,1883274
"New Mexico",502,401894
"New York",22881,3250230
"North Carolina",3415,2758773
"North Dakota",483,235595
"Ohio",3871,3154834
"Oklahoma",847,1020280
"Oregon",3126,958448
"Pennsylvania",7011,3378263
"Rhode Island",261,199837
"South Carolina",1090,1385103
"South Dakota",75,261043
"Tennessee",2253,1852948
"Texas",16491,5890347
"Utah",917,865140
"Vermont",909,112704
"Virginia",2489,1962430
"Washington",2759,1584651
"West Virginia",300,545382
"Wisconsin",1480,1610065
"Wyoming",269,193559
