"state","sum_biden","sum_trump","trump_minus_biden"
"Alabama",864,849,-15
"Alaska",429,311,-118
"Arizona",3248,2865,-383
"Arkansas",469,613,144
"California",25814,31140,5326
"Colorado",2687,3618,931
"Connecticut",878,1141,263
"Delaware",331,245,-86
"District of Columbia",7055,9683,2628
"Florida",13278,16554,3276
"Georgia",3186,2876,-310
"Guam",5,4,-1
"Hawaii",635,706,71
"Idaho",404,608,204
"Illinois",5500,6776,1276
"Indiana",1552,1556,4
"Iowa",572,880,308
"Kansas",888,900,12
"Kentucky",1196,1484,288
"Louisiana",1022,1125,103
"Maine",317,398,81
"Maryland",2069,2189,120
"Massachusetts",3738,4719,981
"Michigan",3074,3053,-21
"Minnesota",1622,1821,199
"Mississippi",265,241,-24
"Missouri",1773,2303,530
"Montana",287,173,-114
"Nebraska",374,394,20
"Nevada",2233,2388,155
"New Hampshire",381,272,-109
"New Jersey",3961,5045,1084
"New Mexico",446,502,56
"New York",21004,22881,1877
"North Carolina",3054,3415,361
"North Dakota",289,483,194
"Ohio",4413,3871,-542
"Oklahoma",806,847,41
"Oregon",2250,3126,876
"Pennsylvania",5403,7011,1608
"Puerto Rico",484,512,28
"Rhode Island",234,261,27
"South Carolina",1174,1090,-84
"South Dakota",86,75,-11
"Tennessee",1993,2253,260
"Texas",14191,16491,2300
"Utah",813,917,104
"Vermont",228,909,681
"Virginia",2226,2489,263
"Washington",2112,2759,647
"West Virginia",367,300,-67
"Wisconsin",1657,1480,-177
"Wyoming",238,269,31
